DELEGACION,UTB
ADOLFO LOPEZ MATEOS,PARQUES NACIONALES I
ADOLFO LOPEZ MATEOS,MIGUEL HIDALGO  (CORRALITOS)
ADOLFO LOPEZ MATEOS,PARQUES NACIONALES  I I
SANCHEZ,SOR JUANA INES DE LA CRUZ
SANCHEZ,ELECTRICISTAS LOCALES
SANCHEZ,LA TERESONA I
SANCHEZ,LA TERESONA  I I 
SANCHEZ,LA TERESONA   I I I
SANCHEZ,SECTOR POPULAR
CACALOMACAN,CENTRO
CACALOMACAN,RANCHO SAN MIGUEL ZACANGO
CACALOMACAN,SAGRADO CORAZON 
CACALOMACAN,EL ARENAL
 CALIXTLAHUACA,SAN FRANCISCO DE ASIS
 CALIXTLAHUACA,ZONA ARQUEOLOGICA
 CALIXTLAHUACA,EL CALVARIO
 CALIXTLAHUACA,PALMILLAS
CAPULTITLAN,SAN ISIDRO LABRADOR
CAPULTITLAN,PASEOS DEL  VALLE
CAPULTITLAN,SAN JUDAS TADEO
CAPULTITLAN,LA SOLEDAD
CAPULTITLAN,LOS PINOS
CAPULTITLAN,GUADALUPE
 SAN ANDRES CUEXCONTITLAN,SAN ANDRES
 SAN ANDRES CUEXCONTITLAN,LA CONCEPCION
 SAN ANDRES CUEXCONTITLAN,SANTA ROSA
 SAN ANDRES CUEXCONTITLAN,LA NATIVIDAD
 SAN ANDRES CUEXCONTITLAN,EJIDO SAN DIEGO DE LOS PADRES
 SAN ANDRES CUEXCONTITLAN,SAN DIEGO DE LOS PADRES I
 SAN ANDRES CUEXCONTITLAN,SAN DIEGO DE LOS PADRES I I
 SAN ANDRES CUEXCONTITLAN,JICALTEPEC  CUEXCONTITLAN
 SAN ANDRES CUEXCONTITLAN,LOMA LA PROVIDENCIA 
 SAN ANDRES CUEXCONTITLAN,EJIDO DE LA Y
 SAN ANDRES CUEXCONTITLAN,LA LOMA CUEXCONTITLAN
 SAN ANTONIO BUENAVISTA,CAMINO REAL
 SAN ANTONIO BUENAVISTA,JOSE MARIA HEREDIA
 SAN ANTONIO BUENAVISTA,LOS ROSALES
 SAN BUENAVENTURA,INSURGENTES
 SAN BUENAVENTURA,PENSADOR MEXICANO
 SAN BUENAVENTURA,ALAMEDA 2000
 SAN BUENAVENTURA,CULTURAL
 SAN BUENAVENTURA,DEL DEPORTE
 SAN BUENAVENTURA,GUADALUPE
SAN CRISTOBAL HUICHOCHITLAN,SAN GABRIEL
SAN CRISTOBAL HUICHOCHITLAN,SAN JOSE GUADALUPE HUICHOCHITLAN
SAN CRISTOBAL HUICHOCHITLAN,LA CONCEPCION
SAN CRISTOBAL HUICHOCHITLAN,LA TRINIDAD  I
SAN CRISTOBAL HUICHOCHITLAN,LA TRINIDAD  I I 
SAN CRISTOBAL HUICHOCHITLAN,SAN SALVADOR I I 
SAN CRISTOBAL HUICHOCHITLAN,SAN SALVADOR  I
SAN FELIPE TLALMIMILOLPAN ,CENTRO
SAN FELIPE TLALMIMILOLPAN ,EL CALVARIO
SAN FELIPE TLALMIMILOLPAN ,JARDINES DE SAN PEDRO
SAN FELIPE TLALMIMILOLPAN ,LA CURVA
SAN FELIPE TLALMIMILOLPAN ,LOS ALAMOS
SAN FELIPE TLALMIMILOLPAN ,LA VENTA
SAN FELIPE TLALMIMILOLPAN ,EL FRONTON
SAN FELIPE TLALMIMILOLPAN ,DEL PANTEON
SAN JUAN TILAPA ,CENTRO
SAN JUAN TILAPA ,LAZARO CARDENAS
SAN JUAN TILAPA ,EL DURAZNO
SAN JUAN TILAPA ,GUADALUPE
 SAN LORENZO TEPALTITLAN,CENTRO
 SAN LORENZO TEPALTITLAN,LAS FLORES
 SAN LORENZO TEPALTITLAN,EL CHARCO
 SAN LORENZO TEPALTITLAN,SAN ANGELIN
 SAN LORENZO TEPALTITLAN,LA CRUZ COMALCO
 SAN LORENZO TEPALTITLAN,SAN ISIDRO   
 SAN LORENZO TEPALTITLAN,DEL PANTEON
 SAN LORENZO TEPALTITLAN,RINCON DE SAN LORENZO
 SAN LORENZO TEPALTITLAN,LA LOMA    
 SAN LORENZO TEPALTITLAN,CELANESE
 SAN LORENZO TEPALTITLAN,EL MOGOTE
 SAN MARCOS YACHIHUACALTEPEC,NORTE
 SAN MARCOS YACHIHUACALTEPEC,SUR
 SAN MARTIN TOLTEPEC,SAN MARTIN
 SAN MARTIN TOLTEPEC,PASEOS DE SAN MARTIN ( NO MUNICIPAL)
 SAN MARTIN TOLTEPEC,SAN ISIDRO
 SAN MARTIN TOLTEPEC,LA PALMA TOLTEPEC
 SAN MARTIN TOLTEPEC,SEBASTIAN LERDO DE TEJADA
 SAN MARTIN TOLTEPEC,EJIDO DE SAN MARCOS YACHIHUACALTEPEC
 SAN MATEO OTZACATIPAN,PONIENTE   I
 SAN MATEO OTZACATIPAN,PONIENTE  I I     
 SAN MATEO OTZACATIPAN,RANCHO SAN JOSE
 SAN MATEO OTZACATIPAN,CANALEJA
 SAN MATEO OTZACATIPAN,ORIENTE  I    
 SAN MATEO OTZACATIPAN,ORIENTE  I I    
 SAN MATEO OTZACATIPAN,LA MAGDALENA OTZACATIPAN
 SAN MATEO OTZACATIPAN,SANTA CRUZ OTZACATIPAN
 SAN MATEO OTZACATIPAN,SAN JOSE GUADALUPE OTZACATIPAN
 SAN MATEO OTZACATIPAN,SAN DIEGO DE LOS PADRES OTZACATIPAN
 SAN MATEO OTZACATIPAN,SAN BLAS OTZACATIPAN
 SAN MATEO OTZACATIPAN,SAN NICOLAS TOLENTINO  I
 SAN MATEO OTZACATIPAN,SAN NICOLAS TOLENTINO I I 
 SAN MATEO OTZACATIPAN, LA CRESPA
 SAN MATEO OTZACATIPAN,JARDINES DE LA CRESPA
 SAN MATEO OTZACATIPAN,GEOVILLAS ARBOLEDA
 SAN MATEO OTZACATIPAN,LA FLORESTA
 SAN MATEO OTZACATIPAN,GEOVILLAS DE LA INDEPENDENCIA 
 SAN MATEO OTZACATIPAN,VICENTE LOMBARDO
 SAN MATEO OTZACATIPAN,ARBOLEDAS
 SAN MATEO OXTOTITLAN,CENTRO
 SAN MATEO OXTOTITLAN,TLALNEPANTLA
 SAN MATEO OXTOTITLAN,ATOTONILCO
 SAN MATEO OXTOTITLAN,RINCON DEL PARQUE
 SAN MATEO OXTOTITLAN,NIÑOS HEROES I
 SAN MATEO OXTOTITLAN,NIÑOS HEROES  I I   
 SAN MATEO OXTOTITLAN,TIERRA Y LIBERTAD
 SAN MATEO OXTOTITLAN,PROTIMBOS
 SAN MATEO OXTOTITLAN,20 DE NOVIEMBRE
 SAN MATEO OXTOTITLAN,14 DE DICIEMBRE
 SAN MATEO OXTOTITLAN,EL TRIGO 
 SAN MATEO OXTOTITLAN,SAN JORGE
 SAN PABLO AUTOPAN,DE JESUS 1A  SECCION
 SAN PABLO AUTOPAN,STA MARIA TLACHALOYITA
 SAN PABLO AUTOPAN,PUEBLO NUEVO  I
 SAN PABLO AUTOPAN,PUEBLO NUEVO  I I 
 SAN PABLO AUTOPAN,SANTA CRUZ  I
 SAN PABLO AUTOPAN,SANTA CRUZ  I I 
 SAN PABLO AUTOPAN,DE JESUS 3A SECCION
 SAN PABLO AUTOPAN,DE JESUS 2A SECCION
 SAN PABLO AUTOPAN,OJO DE AGUA
 SAN PABLO AUTOPAN,AVIACION AUTOPAN
 SAN PABLO AUTOPAN,SAN CARLOS AUTOPAN (BARRIO CONTRACAJA)
 SAN PABLO AUTOPAN,SAN DIEGO LINARES
 SAN PABLO AUTOPAN,SAN DIEGO 
 SAN PABLO AUTOPAN,REAL DE SAN PABLO
 SAN PABLO AUTOPAN,XICALTEPEC   B EL CAJON
 SAN PABLO AUTOPAN,GALAXIA TOLUCA (NO MUNICIPALIZADO)
 SAN PABLO AUTOPAN,JICALTEPEC AUTOPAN
 SAN PEDRO TOTOLTEPEC,DEL CENTRO
 SAN PEDRO TOTOLTEPEC,MANZANA SUR
 SAN PEDRO TOTOLTEPEC,DEL PANTEON
 SAN PEDRO TOTOLTEPEC,GEOVILLAS
 SAN PEDRO TOTOLTEPEC,FRANCISCO I. MADERO
 SAN PEDRO TOTOLTEPEC,LA GALIA
 SAN PEDRO TOTOLTEPEC,NUEVA SAN FRANCISCO
 SAN PEDRO TOTOLTEPEC,SAN MIGUEL TOTOLTEPEC
 SAN PEDRO TOTOLTEPEC,BORDO DE LAS CANASTAS
 SAN PEDRO TOTOLTEPEC,SAN FRANCISCO TOTOLTEPEC
 SAN PEDRO TOTOLTEPEC,GUADALUPE TOTOLTEPEC
 SAN PEDRO TOTOLTEPEC,SAN BLAS TOTOLTEPEC
 SAN PEDRO TOTOLTEPEC,LA CONSTITUCION TOTOLTEPEC
 SAN PEDRO TOTOLTEPEC,ARROYO VISTA HERMOSA
 SANTA ANA TLAPALTITLAN,16 DE SEPTIEMBRE
 SANTA ANA TLAPALTITLAN,PINO SUAREZ
 SANTA ANA TLAPALTITLAN,DEL PANTEON
 SANTA ANA TLAPALTITLAN,INDEPENDENCIA 
 SANTA ANA TLAPALTITLAN,SANTA MARIA SUR
 SANTA ANA TLAPALTITLAN,SANTA MARIA NORTE
 SANTA ANA TLAPALTITLAN,BUENAVISTA
SANTA CRUZ ATZCAPOTZALTONGO,SANTA CRUZ SUR
SANTA CRUZ ATZCAPOTZALTONGO,SANTA CRUZ NORTE
SANTA CRUZ ATZCAPOTZALTONGO,EX HACIENDA LA MAGDALENA
 SANTA MARIA TOTOLTEPEC,CENTRO
 SANTA MARIA TOTOLTEPEC, EL COECILLO
 SANTA MARIA TOTOLTEPEC,HEROES
 SANTA MARIA TOTOLTEPEC,PASEO TOTOLTEPEC
 SANTA MARIA TOTOLTEPEC,EL OLIMPO
 SANTA MARIA TOTOLTEPEC,EL CARMEN TOTOLTEPEC
 SANTIAGO MILTEPEC,MILTEPEC CENTRO
 SANTIAGO MILTEPEC,MILTEPEC SUR
 SANTIAGO MILTEPEC,MILTEPEC NORTE
SANTIAGO TLACOTEPEC ,DEL CENTRO
SANTIAGO TLACOTEPEC ,SANTA MARIA
SANTIAGO TLACOTEPEC ,SHINGADE
SANTIAGO TLACOTEPEC ,CRISTO REY
SANTIAGO TLACOTEPEC ,EL CALVARIO
SANTIAGO TLACOTEPEC ,SANTA JUANITA
SANTIAGO TLACOTEPEC ,EL REFUGIO
 SANTIAGO TLAXOMULCO,EL CALVARIO
 SANTIAGO TLAXOMULCO, LA PEÑA
 SANTIAGO TLAXOMULCO,JUNTA LOCAL DE CAMINOS
 TECAXIC,TECAXIC ORIENTE
 TECAXIC,TECAXIC PONIENTE
 TLACHALOYA,TLACHALOYA   
 TLACHALOYA,BALBUENA
 TLACHALOYA,SAN CARLOS
 TLACHALOYA,SAN JOSE BUENAVISTA
 TLACHALOYA,DEL CENTRO
 TLACHALOYA,EL TEJOCOTE
 TLACHALOYA,SAN JOSE LA COSTA 
SAN CAYETANO DE MORELOS,SAN CAYETANO
SAN CAYETANO DE MORELOS,CERRILLO PIEDRAS BLANCAS
 CERRILLO VISTA HERMOSA,EL CERRILLO
 CERRILLO VISTA HERMOSA,EL EMBARCADERO
SAUCES    ,SAUCES  I         
SAUCES    ,SAUCES  I I I    
SAUCES    ,SAUCES   IV
SAUCES    ,SAUCES  V I   
SAUCES    ,SAUCES  V
SAUCES    ,VILLAS SANTIN I
SAUCES    ,VILLAS SANTIN II
SAUCES    ,FRANCISCO VILLA
SAUCES    ,SAUCES II
